title,category,description,location_x,location_y,date,address,instagram,logo,flyer_link
Turismo Pista,RACE,Una competencia donde reina la paridad mecánica entre autos de calle y las habilidad del piloto se vuelve protagonista.,-34.69522091,-58.46177878,2024-09-21,Autódromo Óscar y Juan Gálvez,https://www.instagram.com/turismopista,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismopista.jpg,NONE
MOONLIT CARS & COFFEE,MEET,Inicia a las 23 horas. ,-34.55053865,-58.42823682,2024-09-15,Pacha Park,https://www.instagram.com/moonlitcc/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_place/moonlit.jpg,NONE
Peugeot Day 2024,EVENT,¡La reunión donde vas a cruzarte con todos los modelos de la marca!,-34.07571127,-60.10268245,2024-09-15,Autodromo de Arrecifes,https://www.instagram.com/peugeot.garage.arg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/peugeot.garage.arg.jpg,NONE
OUTATIME NIGHT EDITION,EVENT,De 18 a 23 hs.,-34.69522091,-58.46177878,2024-09-13,Autódromo Oscar y Juan Galvez,https://www.instagram.com/outatime.track/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/outatime.track.jpeg,NONE
Motorshow en Nordelta,MEET,La solidaridad es el motor del cambio.,-34.43092508,-58.64337896,2024-08-26,Av. de los Lagos 1250 ,https://www.instagram.com/motorshowok/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/motorshowok.jpg,NONE
Motorshow en Nordelta,MEET,La solidaridad es el motor del cambio.,-34.43092508,-58.64337896,2024-08-25,Av. de los Lagos 1250 ,https://www.instagram.com/motorshowok/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/motorshowok.jpg,NONE
JAPAN MEET SOLIDARIOS,MEET,Un evento para coches japoneses.,-34.6096303,-58.95122233,2024-08-12,Predio Estación Cultural,https://www.instagram.com/japan_meet_solidarios/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/meetsolidarios.jpg,NONE
MOTOR'S STYLE,MEET,Este evento se basará en que todas las personas invitadas puedan acceder a un ambiente tranquilo y sin ningún tipo de problema a la hora de entrar.,-34.55829164,-58.49648419,2024-08-12,Parque Sarmiento,https://www.instagram.com/motors.style_/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/motors.style_.jpg,https://lucasmarandola.github.io/taiyoracingco/goodies/map/event_mediapack/motors.style_.jpg
MRS AUTODROMO GALVEZ,EVENT,MRS AUTODROMO GALVEZ BY OUTATIME TRACK. Inicia a las 13:00.,-34.69522091,-58.46177878,2024-08-04,Autódromo Oscar y Juan Gálvez,https://www.instagram.com/outatime.track/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/outatime.track.jpeg,NONE
Honda Club Argentina,MEET,Evento para dueños de coches de la marca Honda. Inicia a las 22 horas.,-34.63405648,-58.51953971,2024-08-03,Predio Cancha de Vélez,https://www.instagram.com/hondaclubarg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/hondaclubarg.jpg,NONE
Stance Society 4º Edición,MEET,De 12:30 a 19:00 hs,-34.39797797,-58.67307273,2024-07-29,Mustang Meat Market,https://www.instagram.com/stancesocietyarg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/event_stance.jpg,NONE
Midget Buenos Aires,RACE,Consultar detalles del evento en Instagram.,-34.68261541,-58.4521059,2024-07-28,"Pista Roja ""Efren Chemolli""",https://www.instagram.com/midgetdebuenosairesoficial/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/midgetdebuenosairesoficial.jpg,NONE
CAPITALINAS JAPAN MEET,MEET,Viví la Segunda edición con los autos japoneses más importantes del pais.,-31.40680233,-64.19043777,2024-07-01,"Distrito Capitalinas, Córdoba",https://www.instagram.com/bertaexperience/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/bertaexperience.jpeg,NONE
MRS AUTODROMO GALVEZ,EVENT,De 12 a 18 hs.,-34.69522091,-58.46177878,2024-07-01,Autódromo Oscar y Juan Galvez,https://www.instagram.com/outatime.track/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/outatime.track.jpeg,NONE
CIVIC HATCHBACK CLUB ROLLIN MEET + BURGER,MEET,Un evento para dueños de Civics rumbo a Burger 54 en Nordelta.  El predio para estacionar es para unicamente invitados en lista. Son todos bienvenidos al evento pero no pueden estacionar en el predio los que no están anotados. Salida a las 12:30 PM.,-34.54159596,-58.46327513,2024-06-24,"Pasaja Comodoro Rivadavia, Cruce Av. Libertador",https://www.instagram.com/civic_hatchback_clubarg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/civic_hatchback_clubarg.jpg,NONE
JDM Meet Solidario,MEET,Un evento para coches japoneses. Vamos a estar juntando comida y demás cosas para perritos y animales de refugios y en situación de calle.,-34.55829164,-58.49648419,2024-06-24,Parque Sarmiento,https://www.instagram.com/jdmsututu/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/jdmsututu.jpg,NONE
Exóticos en Argentina,MEET,Preparate para vivir el mejor evento de autos deportivos del país: Exóticos en Argentina. De 11 a 18hs.,-34.54615069,-58.44504451,2024-06-10,Club Hípico Argentino,https://www.instagram.com/exoticos_en_argentina/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/event_exoticos.jpg,NONE
WHEELS IN SIGHT,MEET,De 14 a 19 hs,-34.55829164,-58.49648419,2024-05-27,Parque Sarmiento,https://www.instagram.com/wheelsightarg/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/wheelsightarg.png,NONE
CARMEET ‘24,MEET,Exhibición de autos deportivos y clásicos. Inicia a las 11:00.,-34.57535706,-58.42738708,2024-05-04,"Regimiento de Infantería 1 ""PATRICIOS""",https://www.instagram.com/bertaexperience/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/bertaexperience.jpeg,NONE
FULL MRS TRACKDAY JUNIN BY OUTATIME,EVENT,FULL MRS TRACKDAY JUNIN BY OUTATIME . Inicia a las 9:00.,-34.65393789,-61.02015817,2024-04-21,Autodromo de Junin Eucebio Marcilla,https://www.instagram.com/outatime.track/,https://lucasmarandola.github.io/taiyoracingco/goodies/events/event_logos/outatime.track.jpeg,NONE
HALOWEEN CARMEET,MEET,Evento por invitación privada. Consulta Instagram para más información.,-34.59735355,-58.36428871,2024-11-01,Malecón Lounge Bar,https://www.instagram.com/tmc_argentina/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/tmc_argentina.jpg,NONE
Cars & Coffee Argentina,MEET,Consultar detalles del evento en Instagram.,-34.59735355,-58.36428871,1900-10-20,SECRET,https://www.instagram.com/carsandcoffee_argentina/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/carsandcoffee_argentina.jpg,NONE
Rally Pre 1000 MIllas 2024 ,EVENT,Consultar detalles del evento en Instagram.,-34.46869946,-58.94501492,2024-11-21,Pilará CARS,https://www.instagram.com/clubautossport/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/clubautossport.jpg,NONE
Premio Hermanos Dellepiane,EVENT,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-11-03,Autódromo Óscar y Juan Gálvez,https://www.instagram.com/clubautossport/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/clubautossport.jpg,NONE
